,"Tipo (Grande, Mediano, Pequeño, Helipuerto)",Nombre,"Elevacion (bajo, medio, altos)",Provincia,Ciudad,Codigo local
660,Pequeño,Fumigaciones Herbinsec,Medio,Buenos Aires,Roberts,Roh
661,Pequeño,Rojas,Bajo,Buenos Aires,Rojas,Rja
662,Pequeño,Pueblo Esther,Bajo,Santa Fe,Rosario,Rop
663,Pequeño,Rosario De La Frontera,Altos,Salta,Rosario De La Frontera,Fro
664,Pequeño,Rosario Del Tala,Medio,Entre Rios,Rosario Del Tala,Rot
665,Pequeño,Rufino,Medio,Santa Fe,Rufino,Ruf
666,Pequeño,Bsg,Medio,Santa Fe,Rufino,Rbs
667,Pequeño,Saavedra,Altos,Buenos Aires,Saavedra,Dra
668,Pequeño,Parajon,Medio,Buenos Aires,Saforcada,Saf
669,Pequeño,Santa Rita,Medio,Buenos Aires,Saladillo,Ssr
670,Pequeño,Abelenda,Bajo,Buenos Aires,Saladillo,Sab
671,Pequeño,Salar De Cauchari,Altos,Jujuy,Salar De Cauchari,Sdc
672,Pequeño,Estancia El Triangulo,Medio,Buenos Aires,Salazar,Slz
673,Pequeño,Saldungaray,Medio,Buenos Aires,Saldungaray,Slg
674,Pequeño,Santo Tomas De La Sierra,Medio,Buenos Aires,Saldungaray,Sly
675,Pequeño,Salliquelo,Medio,Buenos Aires,Salliquelo,Slo
676,Pequeño,Skare,Medio,Buenos Aires,Salto,Ssk
678,Pequeño,El,Medio,Buenos Aires,San Andres De Giles,Lad2230
679,Pequeño,Lad 2198 Juan Jose,Medio,Buenos Aires,San Andres De Giles,Lad2198
680,Pequeño,Haras La Pomme,Bajo,Buenos Aires,San Antonio De Areco,Shp
682,Pequeño,San Benito,Medio,Entre Rios,San Benito,Sbe
683,Pequeño,San Carlos,Altos,Mendoza,San Carlos,Car
685,Pequeño,San Cayetano,Medio,Buenos Aires,San Cayetano,Cay
686,Pequeño,San Cristobal,Medio,Santa Fe,San Cristobal,Sct
687,Pequeño,San Francisco,Medio,Cordoba,San Francisco,Fra
688,Pequeño,San Gregorio,Medio,Santa Fe,San Gregorio,Sge
689,Pequeño,Vergnano,Medio,Santa Fe,San Guillermo,Sgv
690,Pequeño,Aeroclub San,Bajo,Santa Fe,San Javier,Sjr
691,Pequeño,San Jorge,Medio,Santa Fe,San Jorge,Jor
692,Pequeño,Bocca,Medio,Santa Fe,San Jorge,Sjb
693,Pequeño,San Jose De La Dormida,Altos,Cordoba,San Jose De La Dormida,Sjd
694,Pequeño,San Juan Aeroclub,Altos,San Juan,San Juan,Sja
695,Pequeño,San Justo,Medio,Santa Fe,San Justo,Sjt
696,Pequeño,Chialva S. H.,Medio,Cordoba,San Marcos,Sms
697,Pequeño,Aeroclub San,Altos,Mendoza,San Martin,Sti
698,Pequeño,Jujuy Aeroclub,Altos,Jujuy,San Salvador De Jujuy,Jja
699,Pequeño,Casilda Fumigaciones,Medio,Santa Fe,Sanford,Scf
700,Pequeño,Santa Clara De Saguier,Medio,Santa Fe,Santa Clara De Saguier,Scl
701,Pequeño,Estancia San Ramon,Altos,Santa Cruz,Santa Cruz,Hsr
705,Pequeño,Santa Maria,Altos,Catamarca,Santa Maria,Smc
706,Pequeño,Fortin De Gainza,Medio,Buenos Aires,Santa Regina,Sre
707,Pequeño,San Alberto,Medio,La Pampa,Santa Rosa,Slp
710,Pequeño,Condor Del Aire,Medio,Santa Fe,Sargento Cabral,Cda
711,Pequeño,Lago Musters,Medio,Chubut,Sarmiento,Lgm
712,Pequeño,Colonia Sarmiento,Medio,Chubut,Sarmiento,Sto
713,Pequeño,Fumigaciones Nando,Medio,Santiago Del Estero,Selva Nueva,Sfn
714,Pequeño,Fumigaciones Stadler,Bajo,Santa Fe,Serodino,Ser
715,Pequeño,Sierra Grande,Medio,Rio Negro,Sierra Grande,Sgr
716,Pequeño,Bahia Dorada,Bajo,Rio Negro,Sierra Grande,Bdr
717,Pequeño,Estancia 13 De Abril,Medio,Buenos Aires,Smith,2064
718,Pequeño,Stroeder,Bajo,Buenos Aires,Stroeder,Std
720,Pequeño,Sunchales Aeroclub,Medio,Santa Fe,Sunchales,Sca
721,Pequeño,Rincon De Luna,Medio,Corrientes,Tabay,1300
723,Pequeño,Estancia La Estrella,Medio,Buenos Aires,Tandil,Ble
727,Pequeño,F.A.T.,Medio,Santa Fe,Teodelina,Teo
728,Pequeño,Tilisarao,Altos,San Luis,Tilisarao,Tls
730,Pequeño,Establecimiento El 21,Medio,Santiago Del Estero,Tintina,Tev
731,Pequeño,Tio Pujio,Medio,Cordoba,Tio Pujio,Tio
733,Pequeño,Tornquist,Altos,Buenos Aires,Tornquist,Tor
734,Pequeño,Estancia San Vicente,Medio,Santa Fe,Tortugas,Tsv
735,Pequeño,Tostado,Medio,Santa Fe,Tostado,Tos
736,Pequeño,Trenque Lauquen,Medio,Buenos Aires,Trenque Lauquen,Lau
737,Pequeño,Ñanco Lauquen,Medio,Buenos Aires,Trenque Lauquen,Tql
738,Pequeño,La Argentina,Medio,Buenos Aires,Trenque Lauquen,Atn
739,Pequeño,Petrazzini,Medio,Buenos Aires,Tres Arroyos,Yop
740,Pequeño,Santagiulian,Medio,Buenos Aires,Tres Arroyos,Sgi
742,Pequeño,Cerro Vanguardia,Medio,Santa Cruz,Tres Cerros,2356
743,Pequeño,Trevelin,Altos,Chubut,Trevelin,Tvn
744,Pequeño,Los Tucanes,Altos,Tucuman,Tucuman,Tut
745,Pequeño,Horco Molle Aeroclub,Altos,Tucuman,Tucuman,Tcm
746,Pequeño,Urdinarrain,Medio,Entre Rios,Urdinarrain,Urd
747,Pequeño,Estancia Los Lobles,Medio,La Pampa,Uriburu,Url
748,Pequeño,Uspallata,Altos,Mendoza,Uspallata,Usp
749,Pequeño,Valcheta,Medio,Rio Negro,Valcheta,Val
751,Pequeño,Valle Hermoso,Altos,Mendoza,Valle Hermoso,Vhe
752,Pequeño,Vedia,Medio,Buenos Aires,Vedia,Vda
753,Pequeño,Veinticinco De Mayo,Medio,Buenos Aires,Veinticinco De Mayo,May
754,Pequeño,Vera,Medio,Santa Fe,Vera,Ver
755,Pequeño,Veronica,Bajo,Buenos Aires,Veronica,Vna
756,Pequeño,Victoria,Bajo,Entre Rios,Victoria,Vic
757,Pequeño,Victorica,Altos,La Pampa,Victorica,Vca
758,Pequeño,Martin Fierro,Medio,Cordoba,Vicuña Mackena,Vmk
759,Pequeño,Don Angel,Medio,Cordoba,Vicuña Mackenna,Vma
760,Pequeño,Beneficios S.R.L.,Medio,Cordoba,Vicuña Mackenna,Vmb
761,Pequeño,Comequechen,Medio,Cordoba,Vicuña Mackenna,Vmc
762,Pequeño,Estancia La Criolla,Medio,Buenos Aires,Vienticinco De Mayo,Elc
763,Pequeño,Servicios Agroaereos,Medio,Buenos Aires,Vienticinco De Mayo,Msa
764,Pequeño,Hallpa Huayra,Altos,Cordoba,Villa Amancay,Vay
765,Pequeño,Villa Angela,Medio,Chaco,Villa Angela,Van
766,Pequeño,Suboficial Auxiliar Miguel A. Cardone,Medio,Santa Fe,Villa Cañas,Vcc
767,Pequeño,Acindar,Bajo,Santa Fe,Villa Constitucion,Ion
769,Pequeño,Villa De Soto,Altos,Cordoba,Villa De Soto,Sot
770,Pequeño,Villa Del Rosario,Medio,Cordoba,Villa Del Rosario,Vdr
771,Pequeño,Villa General Mitre,Altos,Cordoba,Villa General Mitre,Vgm
772,Pequeño,Villa Maria,Medio,Cordoba,Villa Maria Del Rio Seco,Mra
773,Pequeño,Estancia Don Roberto,Altos,San Luis,Villa Mercedes,Ert
774,Pequeño,Las Totoritas,Altos,San Luis,Villa Mercedes,Vmt
775,Pequeño,Villa Minetti,Medio,Santa Fe,Villa Minetti,Min
776,Pequeño,Suarez Aviacion,Medio,Entre Rios,Villa Nueva,Vns
777,Pequeño,Raig S.A.,Medio,Cordoba,Villa Nueva,Vnr
778,Pequeño,Villa Ocampo,Medio,Santa Fe,Villa Ocampo,Vpo
779,Pequeño,Villa Regina,Altos,Rio Negro,Villa Regina,Vrg
780,Pequeño,Villa Rumipal,Altos,Cordoba,Villa Rumipal,Vru
781,Pequeño,Villa Valeria,Altos,Cordoba,Villa Valeria,Cvv
782,Pequeño,Villaguay,Bajo,Entre Rios,Villaguay,Vig
783,Pequeño,El Jagüel,Medio,Entre Rios,Villaguay,Uel
784,Pequeño,El Malagueño,Medio,Entre Rios,Villaguay,Vll
787,Pequeño,Yapeyu,Medio,Corrientes,Yapeyu,Ypy
788,Helipuerto,Almafuerte / Transener S.A.,Altos,Cordoba,Almafuerte,Hat
789,Helipuerto,Juan Y Luci,Altos,Cordoba,Alpa Corral,Hac
790,Helipuerto,Oreste Berta,Altos,Cordoba,Alta Gracia,Hob
791,Helipuerto,Polisur S.A.,Bajo,Buenos Aires,Bahia Blanca,Hbp
792,Helipuerto,Planta Cruz Del Sur,Medio,Tierra Del Fuego,Bahia San Sebastian,Hen
793,Helipuerto,Transener S.A.,Altos,Mendoza,Barreales,Hcr
794,Helipuerto,Cabaña San Isidro Labrador,Bajo,Buenos Aires,Belen De Escobar,Hci
795,Helipuerto,Legat S.A.,Bajo,Buenos Aires,Belen De Escobar,Hbe
796,Helipuerto,Buenos Aires City Oscar And Juan Galvez Autodrome,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hau
797,Helipuerto,B. Churruca,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hbc
799,Helipuerto,Darsena Sur,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hda
800,Helipuerto,Fuerza Aerea(Edificio Condor),Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hfa
801,Helipuerto,Professor Juan P Garrahan National Pediatric Hospital,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hnp
802,Helipuerto,Madero,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hbm
803,Helipuerto,Argentine Naval Prefecture Principal Official Ballestra,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hpn
805,Helipuerto,Sanatorio Guemes,Medio,Buenos Aires (Autonomous City),Buenos Aires,Hsg
806,Helipuerto,Swiss Medical,Medio,Buenos Aires (Autonomous City),Buenos Aires,Hmd
807,Helipuerto,Cabo Virgenes,Medio,Santa Cruz,Cabo Virgenes,Hcv
808,Helipuerto,Transener S.A.,Bajo,Buenos Aires,Campana,Hct
809,Helipuerto,La Madrugada,Bajo,Buenos Aires,Capilla Del Señor,Hlm
810,Helipuerto,Las Araucarias,Bajo,Buenos Aires,Capilla Del Señor,Hcs
811,Helipuerto,Los Fresnos,Bajo,Buenos Aires,Capilla Del Señor,Hlf
812,Helipuerto,San Joaquin,Medio,Buenos Aires,Carmen De Areco,Hrc
813,Helipuerto,Estancia Santa Isabel,Altos,Neuquen,Catan Lil,Hcl
814,Helipuerto,El Capricho,Bajo,Buenos Aires,Chenaut,Hco
815,Helipuerto,Transener S.A.,Medio,Rio Negro,Choele Choel,Hcc
816,Helipuerto,La Milagrosa,Bajo,Entre Rios,Concepcion Del Uruguay,Hmi
817,Helipuerto,Talitas,Bajo,Entre Rios,Concepcion Del Uruguay,Hta
818,Helipuerto,Campo De Vuelo,Altos,Cordoba,Cordoba,Hmo
819,Helipuerto,Casa De Gobierno,Altos,Cordoba,Cordoba,Hgc
820,Helipuerto,Ciudad Universitaria,Altos,Cordoba,Cordoba,Hcu
821,Helipuerto,Policia Provincia De Cordoba,Altos,Cordoba,Cordoba,Hpc
822,Helipuerto,Raies,Altos,Cordoba,Cordoba,Hra
823,Helipuerto,La Caldera,Bajo,Buenos Aires,Costa Azul,Hca
824,Helipuerto,Helicenter,Bajo,Buenos Aires,Don Torcuato,Hli
825,Helipuerto,Tecnocopter S.A.,Bajo,Buenos Aires,Don Torcuato,Hht
826,Helipuerto,Timen S.A.,Bajo,Buenos Aires,Don Torcuato,Hdt
827,Helipuerto,Transener S.A.,Altos,Tucuman,El Bracho,Hbo
828,Helipuerto,Central Nuclear,Altos,Cordoba,Embalse Rio Tercero,Hcn
829,Helipuerto,Transener S.A.,Bajo,Buenos Aires,Ezeiza,Hcg
830,Helipuerto,Miraflores Country Club,Bajo,Buenos Aires,Garin,Hmc
831,Helipuerto,Unidad Penitenciaria N° 30,Medio,Buenos Aires,General Alvear,Hup
832,Helipuerto,San Isidro Labrador,Medio,Buenos Aires,General Villegas,Hil
833,Helipuerto,Manuel Afonso,Bajo,Buenos Aires,Hudson,Hma
835,Helipuerto,Estancia Palitue,Altos,Neuquen,Junin De Los Andes,Hjn
836,Helipuerto,La Carolina,Altos,Cordoba,La Carolina,Hlc
837,Helipuerto,Sub-Inspector Official Gustavo Soarez De Souza,Medio,Buenos Aires,La Matanza,Hmf
838,Helipuerto,Terminal Y.P.F.,Bajo,Buenos Aires,La Matanza,Hmy
839,Helipuerto,D.P.A.O.,Bajo,Buenos Aires,La Plata,Hlp
840,Helipuerto,Ecodyma S.C.A.,Bajo,Buenos Aires,La Plata,Hec
841,Helipuerto,Policlinico San Martin,Bajo,Buenos Aires,La Plata,Hpm
842,Helipuerto,Lago Escondido,Altos,Rio Negro,Lago Escondido,Hle
843,Helipuerto,Estancia Haychol,Altos,Neuquen,Las Lajas,Hhl
844,Helipuerto,Match Point,Bajo,Buenos Aires,Lujan,Hmp
845,Helipuerto,Sol De Agosto,Bajo,Buenos Aires,Lujan,Hag
846,Helipuerto,Transener S.A.,Altos,San Luis,Lujan,Hlu
847,Helipuerto,Saturnino Unzue,Medio,Buenos Aires,Mar Del Plata,Huu
848,Helipuerto,Abel Monteverde,Altos,Cordoba,Monte Buey,Hmb
849,Helipuerto,Montecristo / Transener S.A.,Altos,Cordoba,Monte Cristo,Hmt
850,Helipuerto,Heliwest,Bajo,Buenos Aires,Moreno,Hhw
851,Helipuerto,Morrison,Medio,Cordoba,Morrison,Hrr
852,Helipuerto,La Superba,Bajo,Buenos Aires,Open Door,Hls
853,Helipuerto,Hospital Materno Infantil San Roque,Medio,Entre Rios,Parana,Hpe
854,Helipuerto,Transener S.A.,Altos,Neuquen,Piedra Del Aguila,Hpg
855,Helipuerto,Ayres De Pilar,Bajo,Buenos Aires,Pilar,Hap
856,Helipuerto,Memorial,Bajo,Buenos Aires,Pilar,Hme
857,Helipuerto,Transener S.A.,Medio,La Pampa,Puelches,Hpu
858,Helipuerto,Recreo / Transener S.A.,Medio,Catamarca,Recreo,Hre
859,Helipuerto,Austral,Bajo,Tierra Del Fuego,Rio Cullen,Ull
860,Helipuerto,Estancia Rio Ewan,Bajo,Tierra Del Fuego,Rio Grande,Hrw
861,Helipuerto,Transener S.A.,Medio,Santa Fe,Romang,Hrt
862,Helipuerto,Centro Civico Grand Bourg,Altos,Salta,Salta,Hgb
863,Helipuerto,Finca Las Costas,Altos,Salta,Salta,Hfc
864,Helipuerto,Hospital De Milagro,Altos,Salta,Salta,Hhm
865,Helipuerto,Hospital Municipal,Medio,Buenos Aires,San Andres De Giles,Hsh
866,Helipuerto,Arelauquen,Altos,Rio Negro,San Carlos De Bariloche,Hba
867,Helipuerto,Complejo Llao Llao,Altos,Rio Negro,San Carlos De Bariloche,Hll
868,Helipuerto,Sarthou S.A.,Bajo,Buenos Aires,San Fernando,Hfs
871,Helipuerto,Estancia La Candelaria,Altos,Neuquen,San Martin De Los Andes,Hcd
872,Helipuerto,Rancho De Montaña,Altos,Neuquen,San Martin De Los Andes,Hrm
874,Helipuerto,Heliplataforma Carina/Total Fina,Bajo,Tierra Del Fuego,Santa Cruz,Hri
875,Helipuerto,Heliplataforma/Rio Cullen-Hidra Norte,Bajo,Tierra Del Fuego,Santa Cruz,Hno
876,Helipuerto,Heliplataforma Am I,Bajo,Santa Cruz,Santa Cruz,Hab
877,Helipuerto,Heliplataforma/Am-2,Medio,Santa Cruz,Santa Cruz,Had
878,Helipuerto,Heliplataforma/Am3,Medio,Santa Cruz,Santa Cruz,Ham
879,Helipuerto,Heliplataforma/Am5,Bajo,Santa Cruz,Santa Cruz,Hmq
880,Helipuerto,Isla Santa Monica,Bajo,Buenos Aires,Tigre,Hsm
881,Helipuerto,Estancia La Chacota,Medio,Buenos Aires,Trenque Lauquen,Htl
882,Helipuerto,Norberto Cordeiro,Altos,Cordoba,Villa Carlos Paz,Hai
883,Helipuerto,Citefa,Bajo,Buenos Aires,Villa Martelli,Hvm
884,Helipuerto,Las Chacritas,Bajo,Buenos Aires,Villa Rosa,Hlt
890,Helipuerto,D.P. El Vapor,Bajo,Buenos Aires,Almirante Brown,Hev
891,Helipuerto,Heliplataforma Barcaza Yagana,Bajo,Santa Cruz,Barcaza Yagana,Hby
892,Helipuerto,Madero Harbour,Medio,Buenos Aires (Autonomous City),Buenos Aires,Hmg
894,Helipuerto,Heliplataforma Swiber,Bajo,Tierra Del Fuego,Campo Vega Pleyade,Hsw
895,Helipuerto,Cañuelas Gas Sa Heliport,Bajo,Buenos Aires,Cañuelas ,Hga
897,Helipuerto,Berrini,Altos,Cordoba,Cordoba,Hbr
898,Helipuerto,Centro Civico Bicentenario,Altos,Cordoba,Cordoba,Hbi
899,Helipuerto,Colonia La Capilla,Bajo,Buenos Aires,Florencio Varela,Hfv
900,Helipuerto,Heliplataforma Movil Ocean,Medio,Santa Cruz,Golfo San Jorge,Hos
901,Helipuerto,Lar De Paz S.A.,Bajo,Buenos Aires,Gonzalez Catan,Hgm
902,Helipuerto,Hospital R. Carrillo,Bajo,Santa Fe,Granadero Baigorria,Hdr
903,Helipuerto,Ituzaingo / Transener S.A.,Medio,Corrientes,Ituzaingo,Hit
904,Helipuerto,Dr. Mariano Moreno,Bajo,Buenos Aires,Jose C. Paz,Hmm
905,Helipuerto,Casa De Lata,Altos,Neuquen,Junin De Los Andes,Hdl
906,Helipuerto,Pernigotti,Medio,Santiago Del Estero,La Banda,Hbd
907,Helipuerto,Campanopolis,Bajo,Buenos Aires,La Matanza,His
908,Helipuerto,Superficie,Bajo,Buenos Aires,La Plata,Hbt
909,Helipuerto,C.A.P.E. Provincial Police,Altos,La Rioja,La Rioja,Hpl
910,Helipuerto,S.A.N.A.,Altos,Misiones,Leandro N. Alem,Hla
911,Helipuerto,La Reserva,Bajo,Buenos Aires,Los Cardales,Hlr
913,Helipuerto,Homaq,Bajo,Buenos Aires,Lujan,Hlh
915,Helipuerto,Policia De La Provincia De Mendoza,Altos,Mendoza,Mendoza,Hpd
917,Helipuerto,San Diego Country Club,Bajo,Buenos Aires,Moreno,Hsd
918,Helipuerto,Pachon Minera,Altos,San Juan,"Pachon, Calingasta",Hps
919,Helipuerto,Piero Vara,Bajo,Buenos Aires,Pilar,Hpi
923,Helipuerto,Heliplataforma Oceanic,Bajo,Tierra Del Fuego,Rio Grande,Hoc
924,Helipuerto,San Fernando / Parana Mini,Bajo,Buenos Aires,Rio Parana Mini,Hmh
925,Helipuerto,Unidad Regional Ii De Polcia,Bajo,Santa Fe,Rosario,2831
928,Helipuerto,Cooperativa De Trabajos Portuarios Limitada,Bajo,Santa Fe,San Martin,Hpt
929,Helipuerto,Miguel Colombise,Bajo,Santa Fe,San Nicolas,Hsn
930,Helipuerto,Metalurgico / Miguel Colombise,Bajo,Buenos Aires,San Nicolas De Los Arroyos,Hsn
931,Helipuerto,Rio Cullen Ii,Bajo,Tierra Del Fuego,Santa Cruz,Hce
933,Helipuerto,Edificio Tribunales,Medio,Santiago Del Estero,Santiago Del Estero,Het
935,Helipuerto,Estancia La Pascuala,Medio,Buenos Aires,Tandil,Htd
936,Helipuerto,Villa La Ñata,Bajo,Buenos Aires,Tigre,Hva
937,Helipuerto,Nordelta,Bajo,Buenos Aires,Tigre,Hnb
939,Helipuerto,Dayry Partners Americas Manufacturing Argentina Sa,Medio,Cordoba,Villa Nueva,Hne
941,Helipuerto,Roca,Altos,Cordoba,Yacanto De Calamuchita,Hyc
942,Helipuerto,Austral S.A.,Medio,Tierra Del Fuego,Yacimiento Cañadon Alfa,Hcp
